ProtID	GeneXL	GeneXLok	HumanID	HumanName
A0A1L8ER70	hyls-1	hyls1.S	219844	HYLS1
A0A1L8ER91	mprip.S	mprip.S	23164	MPRIP
A0A1L8ERE1	cd2bp2.S	cd2bp2.S	10421	CD2BP2
A0A1L8ERE3	nif3l1.S	nif3l1.S	60491	NIF3L1
A0A1L8ERG1	LOC108703280	pfas.S	5198	PFAS
A0A1L8ERH4	ppil3.S	ppil3.S	53938	PPIL3
A0A1L8ERI6	rnf112.1.S	rnf112.1.S	7732	RNF112
A0A1L8ERI7	nol4l.L	nol4l.L	140688	NOL4L
A0A1L8ERL9	rab5c.L	rab5c.L	5878	RAB5C
A0A1L8ERN1	ghdc.L	ghdc.L	84514	GHDC
A0A1L8ERP1	abca5.L	abca5.L	23461	ABCA5
A0A1L8ERP8	vkorc1.S	vkorc1.S	79001	VKORC1
A0A1L8ERR7	krt12.6.L	krt12.6.L	3859	KRT12
A0A1L8ERS7	krt9.1.L	krt9.1.L	3857	KRT9
A0A1L8ERW6	msl1.L	msl1.L	339287	MSL1
A0A1L8ERX0	psmd3.L	psmd3.L	5709	PSMD3
A0A1L8ERY9	npepps.L	npepps.L	9520	NPEPPS
A0A1L8ERZ2	cdk12.L	cdk12.L	51755	CDK12
A0A1L8ES11	cbx1.L	cbx1.L	10951	CBX1
A0A1L8ES41	eif6.L	eif6.L	3692	EIF6
A0A1L8ES47	uqcc1.L	uqcc1.L	55245	UQCC1
A0A1L8ES55	pabpc1l.L	pabpc1l.L	80336	PABPC1L
A0A1L8ES67	itga3.L	itga3.L	3675	ITGA3
A0A1L8ES68	sp2.L	sp2.L	6668	SP2
A0A1L8ES81	grn.L	grn.L	2896	GRN
A0A1L8ESA5	eftud2.L	eftud2.L	9343	EFTUD2
A0A1L8ESB3	psmd11.L	psmd11.L	5717	PSMD11
A0A1L8ESF0	ccdc47.L	ccdc47.L	57003	CCDC47
A0A1L8ESF3	cdc27.L	cdc27.L	996	CDC27
A0A1L8ESG3	tlk2.L	tlk2.L	11011	TLK2
A0A1L8ESK4	LOC108700881	arfgef2.L	10564	ARFGEF2
A0A1L8ESM2	gosr2.L	gosr2.L	9570	GOSR2
A0A1L8ESP1	spata2.L	spata2.L	9825	SPATA2
A0A1L8ESP4	adnp.L	adnp.L	23394	ADNP
A0A1L8ESP6	pard6b.L	pard6b.L	84612	PARD6B
A0A1L8ESQ6	sall4.L	sall4.L	57167	SALL4
A0A1L8ET09	nelfcd.L	nelfcd.L	51497	NELFCD
A0A1L8ET24	dido1.L	dido1.L	11083	DIDO1
A0A1L8ET31	taf4.L	taf4.L	6874	TAF4
A0A1L8ETB0	prpf6.L	prpf6.L	24148	PRPF6
A0A1L8ETB8	lrrc45.L	lrrc45.L	201255	LRRC45
A0A1L8ETF2	faap100.L	faap100.L	80233	FAAP100
A0A1L8ETL3	fasn.L	fasn.L	2194	FASN
A0A1L8ETL5	slc25a10.L	slc25a10.L	1468	SLC25A10
A0A1L8ETM1	utp18.L	utp18.L	51096	UTP18
A0A1L8ETU9	zswim3.L	zswim3.L	140831	ZSWIM3
A0A1L8ETX0	ncoa5.L	ncoa5.L	57727	NCOA5
A0A1L8EU10	LOC108701063	pigu.L	128869	PIGU
A0A1L8EU13	acss2.1.L	acss2.1.L	55902	ACSS2
A0A1L8EU80	LOC108701064	itch.L	83737	ITCH
A0A1L8EU89	soga1.L	soga1.L	140710	SOGA1
A0A1L8EUA0	nfs1.L	nfs1.L	9054	NFS1
A0A1L8EUB1	acsf2.L	acsf2.L	80221	ACSF2
A0A1L8EUE2	LOC108701111	kctd2.L	23510	KCTD2
A0A1L8EUG1	recql5.L	recql5.L	9400	RECQL5
A0A1L8EUG3	LOC108701095	spata20.L	64847	SPATA20
A0A1L8EUH6	galk1.L	galk1.L	2584	GALK1
A0A1L8EUI4	sec14l1.L	sec14l1.L	6397	SEC14L1
A0A1L8EUK3	abcc3.L	abcc3.L	8714	ABCC3
A0A1L8EUK6	septin9.L	septin9.L	10801	SEPTIN9
A0A1L8EUQ4	tbcd.L	tbcd.L	6904	TBCD
A0A1L8EV00	sco1.L	sco1.L	6341	SCO1
A0A1L8EV39	trim25.L	trim25.L	7706	TRIM25
A0A1L8EV40	rhot1.L	rhot1.L	55288	RHOT1
A0A1L8EV45	actr3-b	actr3.L	10096	ACTR3
A0A1L8EV46	gna13.L	gna13.L	10672	GNA13
A0A1L8EV64	parp9.L	parp9.L	83666	PARP9
A0A1L8EV76	dtx3l.L	dtx3l.L	151636	DTX3L
A0A1L8EV79	tex2.2.L	tex2.2.L	55852	TEX2
A0A1L8EV99	snx4.L	snx4.L	8723	SNX4
A0A1L8EVB7	mylk.L	mylk.L	4638	MYLK
A0A1L8EVD0	epb41l5.L	epb41l5.L	57669	EPB41L5
A0A1L8EVD2	ercc3.L	ercc3.L	2071	ERCC3
A0A1L8EVE4	smarcal1.L	smarcal1.L	50485	SMARCAL1
A0A1L8EVE7	osbpl11.L	osbpl11.L	114885	OSBPL11
A0A1L8EVH1	chpf.L	chpf.L	79586	CHPF
A0A1L8EVJ2	ccnt2.L	ccnt2.L	905	CCNT2
A0A1L8EVJ3	ubxn4.L	ubxn4.L	23190	UBXN4
A0A1L8EVK1	ankzf1.L	ankzf1.L	55139	ANKZF1
A0A1L8EVK2	zranb3.L	zranb3.L	84083	ZRANB3
A0A1L8EVL9	abcb6.L	abcb6.L	10058	ABCB6
A0A1L8EVM8	glb1.L	glb1.L	2720	GLB1
A0A1L8EVN1	LOC108701297	cfap65.L	255101	CFAP65
A0A1L8EVP8	retreg2.L	retreg2.L	79137	RETREG2
A0A1L8EVU9	epc2.L	epc2.L	26122	EPC2
A0A1L8EVV7	arl6ip6.L	arl6ip6.L	151188	ARL6IP6
A0A1L8EW13	itgb6.L	itgb6.L	3694	ITGB6
A0A1L8EW19	galnt3.L	galnt3.L	2591	GALNT3
A0A1L8EW41	ppig.L	ppig.L	9360	PPIG
A0A1L8EW53	cfap210.L	ccdc173.L	129881	CFAP210
A0A1L8EW60	tlk1.L	tlk1.L	9874	TLK1
A0A1L8EW62	bbs5.L	bbs5.L	129880	BBS5
A0A1L8EW87	dync1i2.L	dync1i2.L	1781	DYNC1I2
A0A1L8EWB0	hnrnpa3.L	hnrnpa3.L	220988	HNRNPA3
A0A1L8EWG1	itprid2.L	itprid2.L	6744	ITPRID2
A0A1L8EWK0	usp40.L	usp40.L	55230	USP40
A0A1L8EWK2	mcm3ap.L	mcm3ap.L	8888	MCM3AP
A0A1L8EWR0	traf3ip1.L	traf3ip1.L	26146	TRAF3IP1
A0A1L8EWU9	bard1.L	bard1.L	580	BARD1
A0A1L8EWV7	carf.L	carf.L	79800	CARF
A0A1L8EWV8	pofut2.L	pofut2.L	23275	POFUT2
A0A1L8EX55	ankar.L	ankar.L	150709	ANKAR
A0A1L8EX60	cavin2.L	cavin2.L	8436	CAVIN2
A0A1L8EX64	gls.L	gls.L	2744	GLS
A0A1L8EX90	hspd1.L	hspd1.L	3329	HSPD1
A0A1L8EX92	atp5mf.L	atp5mf.L	9551	ATP5MF
A0A1L8EXA7	cpsf4.L	cpsf4.L	10898	CPSF4
A0A1L8EXF8	tmem186.L	tmem186.L	25880	TMEM186
A0A1L8EXH0	fam234a.L	fam234a.L	83986	FAM234A
A0A1L8EXK1	ercc4.L	ercc4.L	2072	ERCC4
A0A1L8EXL6	rsl1d1.L	rsl1d1.L	26156	RSL1D1
A0A1L8EXN1	rmi2.L	rmi2.L	116028	RMI2
A0A1L8EXP2	iqce.L	iqce.L	23288	IQCE
A0A1L8EXP3	ccp110.L	ccp110.L	9738	CCP110
A0A1L8EXS0	brat1.L	brat1.L	221927	BRAT1
A0A1L8EXS4	ints1.L	ints1.L	26173	INTS1
A0A1L8EXW2	sun1.L	sun1.L	23353	SUN1
A0A1L8EXZ4	eif2ak1.L	eif2ak1.L	27102	EIF2AK1
A0A1L8EY05	daglb.L	daglb.L	221955	DAGLB
A0A1L8EY18	cdr2.L	cdr2.L	1039	CDR2
A0A1L8EY56	usp31.L	usp31.L	57478	USP31
A0A1L8EY82	palb2.L	palb2.L	79728	PALB2
A0A1L8EYA0	ift140.L	ift140.L	9742	IFT140
A0A1L8EYC7	plk1.L	plk1.L	5347	PLK1
A0A1L8EYC8	trap1.L	trap1.L	10131	TRAP1
A0A1L8EYE3	LOC108701644	rbbp6.L	5930	RBBP6
A0A1L8EYF2	traf7.L	traf7.L	84231	TRAF7
A0A1L8EYF7	arhgap17.L	arhgap17.L	55114	ARHGAP17
A0A1L8EYI0	cluap1.L	cluap1.L	23059	CLUAP1
A0A1L8EYK8	lmf1.L	lmf1.L	64788	LMF1
A0A1L8EYN9	top3a.L	top3a.L	7156	TOP3A
A0A1L8EYP2	hagh.L	hagh.L	3029	HAGH
A0A1L8EYR4	atpaf2.L	atpaf2.L	91647	ATPAF2
A0A1L8EYS6	drc3.L	drc3.L	83450	DRC3
A0A1L8EYT7	stk36.L	stk36.L	27148	STK36
A0A1L8EYU3	wdr90.L	wdr90.L	197335	WDR90
A0A1L8EYU7	srcap.L	srcap.L	10847	SRCAP
A0A1L8EYV2	glyr1.L	glyr1.L	84656	GLYR1
A0A1L8EYV4	ppl.L	ppl.L	5493	PPL
A0A1L8EYV6	stub1.L	stub1.L	10273	STUB1
A0A1L8EYW2	flii.L	flii.L	2314	FLII
A0A1L8EYW4	rpusd4.L	rpusd4.L	84881	RPUSD4
A0A1L8EYX7	ccdc42.L	ccdc42.L	146849	CCDC42
A0A1L8EYZ4	hyls1.L	hyls1.L	219844	HYLS1
A0A1L8EZ03	rnf40.L	rnf40.L	9810	RNF40
A0A1L8EZ15	srrm2.L	srrm2.L	23524	SRRM2
A0A1L8EZK1	mon1b.S	mon1b.S	22879	MON1B
A0A1L8EZM3	baz1a.S	baz1a.S	11177	BAZ1A
A0A1L8EZP5	ttbk2.S	ttbk2.S	146057	TTBK2
A0A1L8EZQ9	srsf5.S	srsf5.S	6430	SRSF5
A0A1L8EZW1	mapkbp1.S	mapkbp1.S	23005	MAPKBP1
A0A1L8EZX7	exoc5.S	exoc5.S	10640	EXOC5
A0A1L8F007	ppp2r5e.S	ppp2r5e.S	5529	PPP2R5E
A0A1L8F010	bag5.S	bag5.S	9529	BAG5
A0A1L8F016	LOC108699742	ehd4.S	30844	EHD4
A0A1L8F044	LOC495312	mark3.S	4140	MARK3
A0A1L8F048	ddhd1.S	ddhd1.S	80821	DDHD1
A0A1L8F057	nid2.S	nid2.S	22795	NID2
A0A1L8F070	ccnk.S	ccnk.S	8812	CCNK
A0A1L8F081	papola.S	papola.S	10914	PAPOLA
A0A1L8F097	prpf39.1.S	prpf39.1.S	55015	PRPF39
A0A1L8F0B4	atg2b.S	atg2b.S	55102	ATG2B
A0A1L8F0B7	vrk1.S	vrk1.S	7443	VRK1
A0A1L8F0C7	tmx1.S	tmx1.S	81542	TMX1
A0A1L8F0C8	psmc1.S	psmc1.S	5700	PSMC1
A0A1L8F0E3	rin3.S	rin3.S	79890	RIN3
A0A1L8F0F9	golga5.S	golga5.S	9950	GOLGA5
A0A1L8F0L7	aldh6a1.S	aldh6a1.S	4329	ALDH6A1
A0A1L8F0P8	lrsam1.S	lrsam1.S	90678	LRSAM1
A0A1L8F0Q6	coq6.S	coq6.S	51004	COQ6
A0A1L8F190	gtf3c5.S	gtf3c5.S	9328	GTF3C5
A0A1L8F1D6	pkn3.S	pkn3.S	29941	PKN3
A0A1L8F1L3	smc1a.S	smc1a.S	8243	SMC1A
A0A1L8F1N1	nup188.S	nup188.S	23511	NUP188
A0A1L8F1P8	ak1.S	ak1.S	203	AK1
A0A1L8F1S7	niban2.S	niban2.S	64855	NIBAN2
A0A1L8F1U1	LOC108699995	fam120c.S	54954	FAM120C
A0A1L8F1X3	LOC108700006	irak1.S	3654	IRAK1
A0A1L8F201	rabgap1.S	rabgap1.S	23637	RABGAP1
A0A1L8F231	pdcl.S	pdcl.S	5082	PDCL
A0A1L8F246	ndufa8.S	ndufa8.S	4702	NDUFA8
A0A1L8F2A7	LOC108700055	rab9b.S	51209	RAB9B
A0A1L8F2P1	rab39b.S	rab39b.S	116442	RAB39B
A0A1L8F2V5	bcorl1.S	bcorl1.S	63035	BCORL1
A0A1L8F2X4	tspan6.S	tspan6.S	7105	TSPAN6
A0A1L8F2X8	slc25a5.S	slc25a5.S	292	SLC25A5
A0A1L8F326	upf3b.S	upf3b.S	65109	UPF3B
A0A1L8F334	nkrf.S	nkrf.S	55922	NKRF
A0A1L8F346	sytl4.S	sytl4.S	94121	SYTL4
A0A1L8F360	vamp7.S	vamp7.S	6845	VAMP7
A0A1L8F391	wdr44.S	wdr44.S	54521	WDR44
A0A1L8F3A3	phf6.S	phf6.S	84295	PHF6
A0A1L8F3A6	fhl1.S	fhl1.S	2273	FHL1
A0A1L8F3H4	sh3bp5l.S	sh3bp5l.S	80851	SH3BP5L
A0A1L8F3I4	wdr46.S	wdr46.S	9277	WDR46
A0A1L8F3I8	clptm1.S	clptm1.S	1209	CLPTM1
A0A1L8F3I9	ccdc105.S	ccdc105.S	126402	CCDC105
A0A1L8F3J7	hsd17b8.S	hsd17b8.S	7923	HSD17B8
A0A1L8F3L2	brd2.S	brd2.S	6046	BRD2
A0A1L8F3L6	agpat1.S	agpat1.S	10554	AGPAT1
A0A1L8F3N4	clic1.S	clic1.S	1192	CLIC1
A0A1L8F3P4	gnl1.S	gnl1.S	2794	GNL1
A0A1L8F3Q7	dhx16.S	dhx16.S	8449	DHX16
A0A1L8F3Z6	hnrnpl.S	hnrnpl.S	3191	HNRNPL
A0A1L8F409	timm50.S	timm50.S	92609	TIMM50
A0A1L8F410	arhgap11a.2.S	arhgap11a.2.S	9824	ARHGAP11A
A0A1L8F411	fbxo27.S	fbxo27.S	126433	FBXO27
A0A1L8F488	tmem87a.S	tmem87a.S	25963	TMEM87A
A0A1L8F4F5	setdb1.S	setdb1.S	9869	SETDB1
A0A1L8F4I4	rprd2.S	rprd2.S	23248	RPRD2
A0A1L8F4L2	ubqln4.S	ubqln4.S	56893	UBQLN4
A0A1L8F4M3	ncstn.S	ncstn.S	23385	NCSTN
A0A1L8F4P2	vps72.S	vps72.S	6944	VPS72
A0A1L8F4T2	eif3f.S	eif3f.S	8665	EIF3F
A0A1L8F4T3	sdhc.S	sdhc.S	6391	SDHC
A0A1L8F521	nit1.S	nit1.S	4817	NIT1
A0A1L8F532	jtb.S	jtb.S	10899	JTB
A0A1L8F572	cgn.S	cgn.S	57530	CGN
A0A1L8F590	fdps.S	fdps.S	2224	FDPS
A0A1L8F591	znf687.S	znf687.S	57592	ZNF687
A0A1L8F5D2	pklr.S	pklr.S	5313	PKLR
A0A1L8F5D4	atp6ap1.2.L	atp6ap1.2.L	537	ATP6AP1
A0A1L8F5F1	rpl10.L	rpl10.L	6134	RPL10
A0A1L8F5I3	abt1.L	abt1.L	29777	ABT1
A0A1L8F5I6	mbd1.L	mbd1.L	4152	MBD1
A0A1L8F5K5	anapc2.L	anapc2.L	29882	ANAPC2
A0A1L8F5Q2	prpf4.L	prpf4.L	9128	PRPF4
A0A1L8F5Q6	traf2.L	traf2.L	7186	TRAF2
A0A1L8F5Z4	stkld1.L	stkld1.L	169436	STKLD1
A0A1L8F614	sardh.L	sardh.L	1757	SARDH
A0A1L8F622	ppp1r26.L	ppp1r26.L	9858	PPP1R26
A0A1L8F643	psmd5.L	psmd5.L	5711	PSMD5
A0A1L8F679	surf1.L	surf1.L	6834	SURF1
A0A1L8F684	cntrl.L	cntrl.L	11064	CNTRL
A0A1L8F6B2	gtf3c4.L	gtf3c4.L	9329	GTF3C4
A0A1L8F6B4	spaca9.L	spaca9.L	11092	SPACA9
A0A1L8F6D8	psmb7.L	psmb7.L	5695	PSMB7
A0A1L8F6E1	golga1.L	golga1.L	2800	GOLGA1
A0A1L8F6I6	mrrf.L	mrrf.L	92399	MRRF
A0A1L8F6K3	ercc6l.L	ercc6l.L	54821	ERCC6L
A0A1L8F6P6	aifm1.L	aifm1.L	9131	AIFM1
A0A1L8F6S2	trmt12.L	trmt12.L	55039	TRMT12
A0A1L8F6Y3	gcna.L	gcna.L	93953	GCNA
A0A1L8F6Y9	zmym3.L	zmym3.L	9203	ZMYM3
A0A1L8F6Z1	taf1.L	taf1.L	6872	TAF1
A0A1L8F6Z5	cdk5rap2.L	cdk5rap2.L	55755	CDK5RAP2
A0A1L8F729	atrx.L	atrx.L	546	ATRX
A0A1L8F763	las1l.L	las1l.L	81887	LAS1L
A0A1L8F7A7	abcb7.L	abcb7.L	22	ABCB7
A0A1L8F7B1	uprt.L	uprt.L	139596	UPRT
A0A1L8F7B6	stag2.L	stag2.L	10735	STAG2
A0A1L8F7C2	rab39b.L	rab39b.L	116442	RAB39B
A0A1L8F7C4	thoc2.L	thoc2.L	57187	THOC2
A0A1L8F7F0	alg13.L	alg13.L	79868	ALG13
A0A1L8F7F3	zbtb24.L	zbtb24.L	9841	ZBTB24
A0A1L8F7G7	bcorl1.L	bcorl1.L	63035	BCORL1
A0A1L8F7K9	tbc1d8b.L	tbc1d8b.L	54885	TBC1D8B
A0A1L8F7L7	upf3b.L	upf3b.L	65109	UPF3B
A0A1L8F7N4	xpnpep2.L	xpnpep2.L	7512	XPNPEP2
A0A1L8F7P0	utp14a.L	utp14a.L	10813	UTP14A
A0A1L8F7X6	dock11.L	dock11.L	139818	DOCK11
A0A1L8F7Y8	LOC108698491	ints6l.L	203522	INTS6L
A0A1L8F803	LOC108698492	slc9a6.L	10479	SLC9A6
A0A1L8F813	rbmx.L	rbmx.L	27316	RBMX
A0A1L8F825	qpctl.L	qpctl.L	54814	QPCTL
A0A1L8F833	opa3.L	opa3.L	80207	OPA3
A0A1L8F860	gemin7.L	gemin7.L	79760	GEMIN7
A0A1L8F866	clptm1.L	clptm1.L	1209	CLPTM1
A0A1L8F867	rsph6a.L	rsph6a.L	81492	RSPH6A
A0A1L8F872	LOC108698531	clasrp.L	11129	CLASRP
A0A1L8F890	ccdc61.L	ccdc61.L	729440	CCDC61
A0A1L8F8A0	bloc1s3.L	bloc1s3.L	388552	BLOC1S3
A0A1L8F8B3	vps52.L	vps52.L	6293	VPS52
A0A1L8F8B4	tapbp.L	tapbp.L	6892	TAPBP
A0A1L8F8C7	agpat1.L	agpat1.L	10554	AGPAT1
A0A1L8F8E5	nelfe.L	nelfe.L	7936	NELFE
A0A1L8F8E7	crat.L	crat.L	1384	CRAT
A0A1L8F8G4	neu1.L	neu1.L	4758	NEU1
A0A1L8F8J6	cchcr1.L	cchcr1.L	54535	CCHCR1
A0A1L8F8K2	abhd16a.L	abhd16a.L	7920	ABHD16A
A0A1L8F8M1	gnl1.L	gnl1.L	2794	GNL1
A0A1L8F8Q2	fancf.L	fancf.L	2188	FANCF
A0A1L8F8R1	agbl5.L	agbl5.L	60509	AGBL5
A0A1L8F8R8	spint2.L	spint2.L	10653	SPINT2
A0A1L8F8T1	sipa1l3.L	sipa1l3.L	23094	SIPA1L3
A0A1L8F8Y7	nop53.L	nop53.L	29997	NOP53
A0A1L8F8Y9	dmac2.L	dmac2.L	55101	DMAC2
A0A1L8F8Z4	shkbp1.L	shkbp1.L	92799	SHKBP1
A0A1L8F8Z5	bckdha.L	bckdha.L	593	BCKDHA
A0A1L8F917	hnrnpl.L	hnrnpl.L	3191	HNRNPL
A0A1L8F918	ech1.L	ech1.L	1891	ECH1
A0A1L8F928	sars2.L	sars2.L	54938	SARS2
A0A1L8F969	coq6.L	coq6.L	51004	COQ6
A0A1L8F971	capns2.L	capns2.L	84290	CAPNS2
A0A1L8F978	ylpm1.L	ylpm1.L	56252	YLPM1
A0A1L8F979	arel1.L	arel1.L	9870	AREL1
A0A1L8F992	eif2b2.L	eif2b2.L	8892	EIF2B2
A0A1L8F9C1	pomt2.L	pomt2.L	29954	POMT2
A0A1L8F9F6	ttc8.L	ttc8.L	123016	TTC8
A0A1L8F9I4	ppp4r3a.L	ppp4r3a.L	55671	PPP4R3A
A0A1L8F9J4	sel1l.L	sel1l.L	6400	SEL1L
A0A1L8F9L0	trip11.L	trip11.L	9321	TRIP11
A0A1L8F9L4	atg2b.L	atg2b.L	55102	ATG2B
A0A1L8F9N0	vrk1.L	vrk1.L	7443	VRK1
A0A1L8F9P7	l2hgdh.L	l2hgdh.L	79944	L2HGDH
A0A1L8F9T4	nemf.L	nemf.L	9147	NEMF
A0A1L8F9V3	gpr137c.L	gpr137c.L	283554	GPR137C
A0A1L8F9V5	txndc16.L	txndc16.L	57544	TXNDC16
A0A1L8F9X9	dync1h1.L	dync1h1.L	1778	DYNC1H1
A0A1L8F9Y5	pygl.L	pygl.L	5836	PYGL
A0A1L8FA08	ckb.L	ckb.L	1152	CKB
A0A1L8FA17	bag5.L	bag5.L	9529	BAG5
A0A1L8FA30	ppp2r5c.L	ppp2r5c.L	5527	PPP2R5C
A0A1L8FA32	aspg.L	aspg.L	374569	ASPG
A0A1L8FA55	wdr89.L	wdr89.L	112840	WDR89
A0A1L8FA95	dhrs7.L	dhrs7.L	51635	DHRS7
A0A1L8FAB2	tmem260.L	tmem260.L	54916	TMEM260
A0A1L8FAD0	atg14.L	atg14.L	22863	ATG14
A0A1L8FAF0	numbl.L	numbl.L	9253	NUMBL
